Artist;Title;Link
Major Lazer;Lean On;https://www.youtube.com/watch?v=rn9AQoI7mYU
Eminem;Lose yourself;https://www.youtube.com/watch?v=6Un9HLDCTCs
Hilary Duff;Sparks;https://www.youtube.com/watch?v=HEpJJXNuuvM
Becky G;Shower;https://www.youtube.com/watch?v=oF8efZmoGZE
Sam Smith;Stay With Me; https://www.youtube.com/watch?v=-rC8RRXcfeo
Wiz Khalifia; See You Again; https://www.youtube.com/watch?v=RgKAFK5djSk
Taylor Swift; New Romantics; https://www.youtube.com/watch?v=SgsCC5Hdy6U
Carly Rae Jepson; I Really Like you; https://www.youtube.com/watch?v=77PzXCKDyVQ
Rihanna; Bitch better have my money; https://www.youtube.com/watch?v=qHkpGJcB0HU
Big Sean; I don’t Fuck with you; https://www.youtube.com/watch?v=ZR_X6PrASho
Jason Derulo; Want to want me; https://www.youtube.com/watch?v=VtcNri7F2Us
Nick Jonas; Jealous; https://www.youtube.com/watch?v=cQw2qIl838Q
Martin Solveig; Intoxicated; https://www.youtube.com/watch?v=94Rq2TX0wj4
Natalie La Rose; Somebody; https://www.youtube.com/watch?v=ZaRypcAQGps
Britney Spears; Toxic; https://www.youtube.com/watch?v=qj0VcBOHsic
Fetty Wap; Trap Queen; https://www.youtube.com/watch?v=aZbTQ6bAbZA
Katy Perry; Birthday; https://www.youtube.com/watch?v=jqYxyd1iSNk
Maroon 5; Sugar; https://www.youtube.com/watch?v=48VSP-atSeI
Meghan Trainor; Dear future husband; https://www.youtube.com/watch?v=j9zj3FYdskk
T pain; Buy u a drank; https://www.youtube.com/watch?v=sqe33usA3KE
Ryn Weaver; OctaHate; https://www.youtube.com/watch?v=furpBFPwspQ
Taylor Swift; Bad Blood; https://www.youtube.com/watch?v=IekTzYgxx7w
Kesha; Die Young; https://www.youtube.com/watch?v=vu9mAAr1pBI
Nicki Minaj; The Night Is Still Young; https://www.youtube.com/watch?v=wVyJ-4YbucA
Major Lazer;Lean On;https://www.youtube.com/watch?v=rn9AQoI7mYU
Natalie La Rose; Somebody; https://www.youtube.com/watch?v=ZaRypcAQGps
Ellie Goulding; Love Me Like You Do; https://www.youtube.com/watch?v=AJtDXIazrMo
Vanessa Carlton; A Thousand Miles; https://www.youtube.com/watch?v=Sg0CeRog-yQ
Flo Rida; Whistle; https://www.youtube.com/watch?v=aS85AvLl9Ik
Rihanna; Four Five Seconds; https://www.youtube.com/watch?v=FjRPDzcmJT4
Rihanna; Umbrella; https://www.youtube.com/watch?v=tst-pb3YCEc
Fifth Harmony; Worth It; https://www.youtube.com/watch?v=YBHQbu5rbdQ
Ellie Goulding; Love Me Like You Do; https://www.youtube.com/watch?v=AJtDXIazrMo
Beyonce; Halo; https://www.youtube.com/watch?v=bnVUHWCynig
Fifth Harmony; Worth It; https://www.youtube.com/watch?v=YBHQbu5rbdQ
Britney Spears;Pretty Girls;https://www.youtube.com/watch?v=uV2uebhnqOw
Marvin Gaye; Lets get it on; https://www.youtube.com/watch?v=x6QZn9xiuOE
Ed shear; Thinking out loud; https://www.youtube.com/watch?v=seRE5i2FCvw
Britney Spears;Pretty Girls;https://www.youtube.com/watch?v=uV2uebhnqOw
Gwen Stefani; Holdback Girl; https://www.youtube.com/watch?v=EAmChFTLP4w
Taylor Swift; Bad Blood; https://www.youtube.com/watch?v=IekTzYgxx7w
Fifth Harmony; Sledgehammer;https://www.youtube.com/watch?v=gCJ3rmiZFr8
Rihanna; Bitch better have my money; https://www.youtube.com/watch?v=qHkpGJcB0HU
Chris Brown; Ayo; https://www.youtube.com/watch?v=MhhjxNDypKo
Taylor Swift; I knew you were trouble;https://www.youtube.com/watch?v=qUn1tzyTYeo
Fall out Boy; Centuries; https://www.youtube.com/watch?v=dZEnQogAd8U
Calvin Harris; Outside; https://www.youtube.com/watch?v=J9NQFACZYEU
Taylor Swift; You Belong with me; https://www.youtube.com/watch?v=cI7zT06CrCI
Linkin Park; Numb; https://www.youtube.com/watch?v=kXYiU_JCYtU
Sia; Elastic Heart; https://www.youtube.com/watch?v=5RYY0hwHIRw
Marina and the diamonds; Lies; https://www.youtube.com/watch?v=MsnlBtlimBA
Tove Lo; Talking Body; https://www.youtube.com/watch?v=nlYbDjwBe2Y
Meghan Trainor; Dear future husband; https://www.youtube.com/watch?v=j9zj3FYdskk
Jason Mraz; Im Yours; https://www.youtube.com/watch?v=bVaY6OrPu_Q
Lady Gaga; So Happy I could Die; https://www.youtube.com/watch?v=r08xhL0jI1Q
Major Lazer;Lean On;https://www.youtube.com/watch?v=rn9AQoI7mYU
Nine Inch Nails; Head like a hole;https://www.youtube.com/watch?v=ao-Sahfy7Hg
Carly Rae Jepson; I Really Like you; https://www.youtube.com/watch?v=77PzXCKDyVQ
