Mariah Carey;You're Mine;https://www.youtube.com/watch?v=9goSZU9UB8g
Johnny Gill; My, My, My;https://www.youtube.com/watch?v=btFcIkFoT1k
Offsrping;Come Out And Play;https://www.youtube.com/watch?v=WWH85xlhZbI
Marilyn Manson;The Beautiful People;https://www.youtube.com/watch?v=scg4tGpBXKc
Led Zeppelin;Whole Lotta Love;https://www.youtube.com/watch?v=Qkzel7TCZ0M
The Beatles;Helter Skelter;https://www.youtube.com/watch?v=UXOkzEXJuDs
James Brown;Sexmachine;https://www.youtube.com/watch?v=8mjQ1i5V7qA
Led Zeppelin;Whole Lotta Love;https://www.youtube.com/watch?v=Qkzel7TCZ0M
Will Smith;Switch;https://www.youtube.com/watch?v=AwQI7PEY0gw
Bee Gees;Stayin Alive;https://www.youtube.com/watch?v=_Vj092UgKwQ
Jimmy Ruffin;What Becomes of the Brokenhearted;https://www.youtube.com/watch?v=cQywZYoGB1g
Snow Patrol;Chasing Cars;https://www.youtube.com/watch?v=XaKr98ktoxU
De La Soul;Ring Ring Ring (Ha Ha Hey);https://www.youtube.com/watch?v=gC1xuVCBl4o
Kasabian;Processed Beats;https://www.youtube.com/watch?v=wE1NGrOGwT8
Jay-Z;99 Problems;https://www.youtube.com/watch?v=j1ZObiu6kRU
The Charlatans;Stir it Up;https://www.youtube.com/watch?v=CiQAdFkwX6s
Sisters of Mercy;Dominion;https://www.youtube.com/watch?v=AeFC-rfQkVk
Sweet Light;Abusator;https://www.youtube.com/watch?v=29GS9qaSomQ
30 Seconds To Mars;Kings and Queens;https://www.youtube.com/watch?v=3j73g8JMHOA
James Blunt;You're Beautiful;https://www.youtube.com/watch?v=oofSnsGkops
The Do;On My Shoulders;https://www.youtube.com/watch?v=HOs1NDsitmk
Bjork;Violently Happy;https://www.youtube.com/watch?v=hs1sIgPzOT0
The Stranglers;No Mercy;https://www.youtube.com/watch?v=7GndSz_0fB8
Far East Movement;Like a G6;https://www.youtube.com/watch?v=VYaygLi1Qd0
Avicii;Wake Me Up;https://www.youtube.com/watch?v=5y_KJAg8bHI
Rick Astley;Never Gonna Give You Up;https://www.youtube.com/watch?v=dQw4w9WgXcQ
