Artist; Title; Link
Nas; Shoot 'Em Up;  https://www.youtube.com/watch?v=dTGaZjcSY5E
Black Sabbath; War Pigs; https://www.youtube.com/watch?v=LQUXuQ6Zd9w
M83; Midnight City; https://www.youtube.com/watch?v=dX3k_QDnzHE
Kanye West; Good Life; https://www.youtube.com/watch?v=FEKEjpTzB0Q
Kanye West; Mercy; https://www.youtube.com/watch?v=7Dqgr0wNyPo
The Police; Message In A bottle; https://www.youtube.com/watch?v=ObL3L6MRvN4
Frank Sinatra; New York New York; https://www.youtube.com/watch?v=gcxGp-2p5aQ
Notorious B.I.G.; Juicy; https://www.youtube.com/watch?v=_JZom_gVfuw
Lana Del Ray; Lolita; https://www.youtube.com/watch?v=Bc5bCExt6L0
Notorious B.I.G.; Juicy; https://www.youtube.com/watch?v=_JZom_gVfuw
Notorious B.I.G.; Bullshit and Party; https://www.youtube.com/watch?v=EdPibcabAUs
Miley Cyrus; Party In The USA; https://www.youtube.com/watch?v=M11SvDtPBhA
Mobb Deep; Shook Ones Part 2; https://www.youtube.com/watch?v=0NUX4tW5pps
Bob Marley; I Shot The Sheriff; https://www.youtube.com/watch?v=2XiYUYcpsT4
M83; My Tears Are Becoming A Sea; https://www.youtube.com/watch?v=uE8EhJ9gS28
Lil Wayne; John; https://www.youtube.com/watch?v=3fumBcKC6RE
Bee Gees; Stayin' Alive; https://www.youtube.com/watch?v=jqzk904ytlE
Pink Floyd; Another Brick In The Wall; https://www.youtube.com/watch?v=5IpYOF4Hi6Q
Notorious B.I.G.; Juicy; https://www.youtube.com/watch?v=_JZom_gVfuw
The xx; Intro; https://www.youtube.com/watch?v=3gxNW2Ulpwk
Wu-Tang Clan; C.R.E.A.M; https://www.youtube.com/watch?v=PBwAxmrE194
Fugazi; I'm So Tired; https://www.youtube.com/watch?v=_7x1lXVebfM
